Feature,Importance
numeric__Age,0.8538582660264694
categorical__Test_Results_Inconclusive,0.008469572450190888
categorical__Test_Results_Abnormal,0.008174911244662375
categorical__Gender_Male,0.008061262719677083
categorical__Gender_Female,0.008050707048394796
categorical__Test_Results_Normal,0.007738947729586753
categorical__Blood_Type_B-,0.007441694339970032
categorical__Blood_Type_O-,0.00735996320175024
categorical__Blood_Type_O+,0.007194366408603915
categorical__Medication_Ibuprofen,0.007078695191069421
categorical__Blood_Type_B+,0.006958908738293754
categorical__Blood_Type_AB-,0.006861329550182454
categorical__Medication_Penicillin,0.006830358764051125
categorical__Blood_Type_AB+,0.006765529865954127
categorical__Blood_Type_A-,0.006666351210911057
categorical__Medication_Lipitor,0.006466081627912972
categorical__Medication_Paracetamol,0.0063970806340137775
categorical__Medication_Aspirin,0.006220942193088577
categorical__Admission_Type_Emergency,0.006220362878514561
categorical__Blood_Type_A+,0.0061136322482048255
categorical__Admission_Type_Elective,0.005540787491429999
categorical__Admission_Type_Urgent,0.005530248437068
